,pclass,survived,sex,sibsp,parch,embarked,deck,companions,age cohort
0,1,1,female,0,0,Southampton,B,0,young adult
1,1,1,male,1,2,Southampton,C,3,toddler
2,1,0,female,1,2,Southampton,C,3,toddler
3,1,0,male,1,2,Southampton,C,3,young adult
4,1,0,female,1,2,Southampton,C,3,teenager
5,1,1,male,0,0,Southampton,E,0,adult
6,1,1,female,1,0,Southampton,D,1,senior
7,1,0,male,0,0,Southampton,A,0,adult
8,1,1,female,2,0,Southampton,C,2,adult
9,1,0,male,0,0,Cherbourg,C,0,senior
10,1,0,male,1,0,Cherbourg,C,1,adult
11,1,1,female,1,0,Cherbourg,C,1,teenager
12,1,1,female,0,0,Cherbourg,B,0,teenager
13,1,1,female,0,0,Southampton,C,0,young adult
14,1,1,male,0,0,Southampton,A,0,senior
15,1,0,male,0,0,Southampton,D,0,young adult
16,1,0,male,0,1,Cherbourg,B,1,teenager
17,1,1,female,0,1,Cherbourg,B,1,adult
18,1,1,female,0,0,Cherbourg,D,0,young adult
19,1,0,male,0,0,Cherbourg,C,0,adult
20,1,1,male,1,1,Southampton,D,2,adult
21,1,1,female,1,1,Southampton,D,2,adult
22,1,1,male,0,0,Cherbourg,C,0,young adult
23,1,1,female,0,0,Cherbourg,C,0,adult
24,1,1,female,0,0,Southampton,C,0,young adult
25,1,0,male,0,0,Cherbourg,F,0,teenager
26,1,1,male,1,0,Cherbourg,B,1,teenager
27,1,1,female,1,0,Cherbourg,B,1,teenager
28,1,1,female,0,0,Southampton,C,0,young adult
29,1,1,male,0,0,Southampton,C,0,young adult
30,1,0,male,0,0,Southampton,T,0,adult
31,1,1,male,0,0,Cherbourg,A,0,adult
32,1,1,female,0,0,Southampton,C,0,young adult
33,1,1,female,0,0,Southampton,C,0,adult
34,1,0,male,0,0,Southampton,D,0,adult
35,1,1,female,0,0,Cherbourg,B,0,adult
36,1,1,female,0,1,Southampton,E,1,teenager
37,1,1,male,0,0,Southampton,B,0,young adult
38,1,0,male,0,0,Southampton,A,0,adult
39,1,0,male,0,0,Cherbourg,B,0,adult
40,1,0,male,0,0,Cherbourg,A,0,young adult
41,1,1,female,0,0,Cherbourg,B,0,adult
42,1,1,female,2,0,Southampton,C,2,adult
43,1,1,female,0,0,Cherbourg,D,0,adult
44,1,1,female,0,0,Cherbourg,E,0,adult
45,1,0,male,0,0,Southampton,B,0,adult
46,1,0,male,0,0,Southampton,A,0,young adult
47,1,1,male,0,0,Southampton,E,0,adult
48,1,1,female,0,0,Cherbourg,D,0,adult
49,1,1,male,0,1,Cherbourg,B,1,adult
50,1,1,female,0,1,Cherbourg,B,1,adult
51,1,0,male,0,0,Southampton,B,0,young adult
52,1,0,male,0,0,Southampton,B,0,young adult
53,1,0,male,0,0,Southampton,B,0,teenager
54,1,1,male,1,2,Southampton,B,3,child
55,1,1,female,1,2,Southampton,B,3,child
56,1,1,male,1,2,Southampton,B,3,adult
57,1,1,female,1,2,Southampton,B,3,adult
58,1,0,male,0,0,Southampton,F,0,adult
59,1,1,female,0,0,Cherbourg,B,0,young adult
60,1,0,male,1,0,Southampton,C,1,adult
61,1,1,female,1,0,Southampton,C,1,senior
62,1,0,male,1,0,Southampton,E,1,adult
63,1,1,female,1,0,Southampton,E,1,adult
64,1,1,male,1,0,Southampton,E,1,young adult
65,1,1,female,1,0,Southampton,E,1,young adult
66,1,1,female,0,0,Cherbourg,B,0,adult
67,1,1,female,0,0,Southampton,B,0,young adult
68,1,1,male,0,0,Cherbourg,A,0,adult
69,1,1,female,0,1,Southampton,E,1,young adult
70,1,0,male,0,0,Southampton,B,0,young adult
71,1,0,male,1,0,Cherbourg,C,1,young adult
72,1,1,female,1,0,Cherbourg,C,1,young adult
73,1,1,female,0,0,Southampton,C,0,teenager
74,1,0,male,0,0,Southampton,A,0,young adult
75,1,0,male,0,0,Southampton,E,0,adult
76,1,1,female,1,1,Cherbourg,E,2,adult
77,1,0,male,1,1,Cherbourg,E,2,adult
78,1,1,female,0,2,Cherbourg,E,2,senior
79,1,1,female,2,0,Southampton,C,2,adult
80,1,0,male,0,0,Southampton,B,0,young adult
81,1,0,male,1,1,Southampton,B,2,senior
82,1,1,female,0,2,Southampton,B,2,adult
83,1,1,female,1,1,Southampton,B,2,senior
84,1,0,male,1,0,Cherbourg,C,1,adult
85,1,1,female,1,0,Cherbourg,C,1,adult
86,1,1,male,0,0,Southampton,E,0,adult
87,1,1,male,0,0,Southampton,C,0,young adult
88,1,1,female,0,0,Southampton,C,0,young adult
89,1,0,male,1,0,Southampton,B,1,young adult
90,1,1,female,1,2,Southampton,B,3,young adult
91,1,1,male,1,0,Southampton,B,1,young adult
92,1,1,female,1,0,Southampton,B,1,teenager
93,1,1,male,1,1,Southampton,A,2,adult
94,1,1,male,0,2,Southampton,A,2,toddler
95,1,1,female,1,1,Southampton,A,2,adult
96,1,0,male,1,0,Cherbourg,C,1,adult
97,1,1,female,1,1,Cherbourg,B,2,young adult
98,1,1,female,1,0,Cherbourg,C,1,adult
99,1,1,female,1,0,Cherbourg,A,1,adult
100,1,1,male,1,0,Cherbourg,A,1,adult
101,1,0,male,0,0,Cherbourg,A,0,adult
102,1,1,female,0,1,Cherbourg,C,1,teenager
103,1,1,female,0,0,Cherbourg,C,0,adult
104,1,1,female,1,0,Cherbourg,D,1,adult
105,1,0,female,0,0,Cherbourg,A,0,adult
106,1,0,male,0,0,Southampton,C,0,young adult
107,1,1,female,0,0,Southampton,A,0,young adult
108,1,1,female,0,0,Cherbourg,C,0,young adult
109,1,1,male,0,0,Southampton,E,0,adult
110,1,0,male,0,0,Cherbourg,C,0,young adult
111,1,1,female,3,2,Southampton,C,3,teenager
112,1,1,female,3,2,Southampton,C,3,young adult
113,1,1,female,3,2,Southampton,C,3,teenager
114,1,0,male,3,2,Southampton,C,3,teenager
115,1,0,male,1,4,Southampton,C,3,senior
116,1,1,female,1,4,Southampton,C,3,adult
117,1,1,female,0,0,Cherbourg,E,0,young adult
118,1,0,male,0,0,Southampton,D,0,young adult
119,1,1,male,2,0,Southampton,E,2,adult
120,1,1,male,1,0,Cherbourg,D,1,adult
121,1,1,female,1,0,Southampton,E,1,young adult
122,1,1,female,0,2,Cherbourg,B,2,teenager
123,1,1,male,1,1,Cherbourg,B,2,adult
124,1,1,female,1,1,Cherbourg,B,2,adult
125,1,0,male,0,0,Southampton,B,0,young adult
126,1,0,male,1,0,Southampton,C,1,adult
127,1,1,female,1,0,Southampton,C,1,young adult
128,1,0,male,0,0,Southampton,E,0,adult
129,1,1,female,0,0,Cherbourg,C,0,young adult
130,1,1,female,0,1,Cherbourg,C,1,teenager
131,1,1,female,0,1,Cherbourg,C,1,adult
132,1,0,male,0,0,Cherbourg,B,0,teenager
133,1,1,male,1,0,Cherbourg,C,1,adult
134,1,1,female,1,0,Cherbourg,C,1,young adult
135,1,0,male,0,0,Cherbourg,A,0,senior
136,1,1,male,0,0,Cherbourg,C,0,adult
137,1,1,female,0,0,Southampton,B,0,teenager
138,1,0,male,0,1,Southampton,C,1,adult
139,1,1,female,0,1,Southampton,C,1,adult
140,1,1,male,0,1,Cherbourg,D,1,teenager
141,1,1,female,0,1,Cherbourg,D,1,adult
142,1,0,male,0,0,Cherbourg,B,0,adult
143,1,1,male,1,0,Cherbourg,E,1,teenager
144,1,1,female,1,0,Cherbourg,E,1,teenager
145,1,1,male,1,0,Cherbourg,D,1,adult
146,1,1,female,1,0,Cherbourg,D,1,adult
147,1,0,male,0,0,Southampton,B,0,young adult
148,1,0,male,1,0,Southampton,C,1,adult
149,1,1,female,1,0,Southampton,C,1,young adult
150,1,0,male,0,0,Southampton,B,0,adult
151,1,1,male,0,0,Cherbourg,D,0,young adult
152,1,1,male,0,0,Southampton,D,0,young adult
153,1,1,female,0,0,Cherbourg,C,0,teenager
154,1,0,male,1,1,Southampton,B,2,adult
155,1,1,female,1,1,Southampton,B,2,adult
156,1,0,male,0,0,Southampton,B,0,adult
157,1,0,male,0,0,Southampton,E,0,young adult
158,1,0,male,0,0,Southampton,C,0,adult
159,1,1,female,0,1,Cherbourg,B,1,teenager
160,1,1,female,0,1,Cherbourg,B,1,adult
161,1,1,female,1,0,Southampton,D,1,adult
162,1,0,male,1,0,Southampton,C,1,adult
163,1,1,female,1,0,Southampton,C,1,young adult
164,1,1,male,0,0,Cherbourg,B,0,young adult
165,1,1,male,1,0,Southampton,C,1,adult
166,1,0,male,0,0,Cherbourg,A,0,young adult
167,1,1,female,1,0,Southampton,C,1,young adult
168,1,1,female,0,0,Southampton,B,0,adult
169,1,0,female,0,0,Cherbourg,C,0,adult
170,1,1,male,0,0,Southampton,B,0,adult
171,1,0,male,0,0,Southampton,F,0,adult
172,1,0,male,0,0,Southampton,E,0,adult
173,1,0,male,0,0,Cherbourg,C,0,young adult
174,1,0,male,0,0,Cherbourg,B,0,adult
175,1,0,male,1,0,Southampton,D,1,adult
176,1,1,female,1,0,Southampton,D,1,young adult
177,1,1,male,1,0,Southampton,D,1,adult
178,1,1,female,1,0,Southampton,D,1,adult
179,1,0,male,0,0,Southampton,C,0,young adult
180,1,1,female,0,0,Southampton,B,0,adult
181,1,1,female,0,0,Southampton,D,0,adult
182,1,1,female,0,0,Cherbourg,C,0,young adult
183,1,1,male,0,0,Cherbourg,B,0,young adult
184,1,0,male,0,0,Cherbourg,B,0,young adult
185,1,0,male,0,0,Southampton,B,0,adult
